rank,symbol_a,symbol_b,pair,timeframe,coint_statistic,coint_pvalue,adf_statistic,adf_pvalue,half_life_days,sharpe_ratio,profit_factor,win_rate,total_trades,max_drawdown,avg_holding_minutes,hedge_ratio,spread_mean,spread_std,avg_dollar_volume_a,avg_dollar_volume_b,window_start,window_end,sample_bars
1,PG,MUSA,PG/MUSA,1 day,-4.42283417,0.001635,-4.4180434,0.000276,7.728116222222222,4.03187389,,1.0,9,0.0277013,14080.0,0.35246333,,0.0257808,541513062.54,35889620.35,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
2,AMN,CORT,AMN/CORT,1 day,-5.29881894,4.5e-05,-5.294191,6e-06,7.450855505555555,4.02551534,,1.0,8,0.11191646,16020.0,-1.100651,,0.15947565,18491569.65,28055490.46,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
3,ACA,KTB,ACA/KTB,1 day,-5.51855048,1.6e-05,-5.51338338,2e-06,6.5857529875,3.74474047,,1.0,8,0.0344694,12780.0,0.54607787,,0.04287141,8127127.75,17795804.88,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
4,FITB,TMHC,FITB/TMHC,1 day,-4.49991079,0.001225,-5.43423656,3e-06,6.301460903472222,3.6745052,,1.0,8,0.06642297,12600.0,1.12611381,,0.0451566,113814209.29,26211313.43,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
5,ANET,AORT,ANET/AORT,1 day,-4.39119753,0.001838,-5.23773973,7e-06,7.2931398,3.5592313,,1.0,9,0.10904019,11360.0,0.98940504,,0.08440719,461021343.49,4267568.15,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
6,ANDE,LYEL,ANDE/LYEL,1 day,-5.27327696,5e-05,-5.26801858,6e-06,6.751630786111111,3.86948327,,1.0,7,0.06410999,12754.285714,0.22281513,,0.05519255,3966163.02,1015706.19,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
7,ABR,GRPN,ABR/GRPN,1 day,-4.48402908,0.001301,-4.47967729,0.000214,9.477498582638889,3.67939873,,1.0,9,0.14200648,17600.0,-0.22547058,,0.07695364,36863214.22,14442523.28,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
8,D,SPXC,D/SPXC,1 day,-5.17333899,7.8e-05,-5.16823,1e-05,7.381605715277778,3.2735043,,1.0,9,0.05928934,18080.0,0.40000565,,0.03836632,153957620.42,14330074.08,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
9,ANDE,PM,ANDE/PM,1 day,-4.3919365,0.001833,-4.38706461,0.000313,9.487445201388889,3.96801875,,1.0,8,0.05968276,18000.0,-0.54031819,,0.06340911,3966163.02,375324200.68,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
10,AHCO,MGY,AHCO/MGY,1 day,-5.31892547,4.1e-05,-5.31382968,5e-06,6.751411817361111,3.56171983,,1.0,7,0.0658369,16251.428571,1.18625608,,0.09070197,6511956.25,33497766.89,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
11,AIN,ESE,AIN/ESE,1 day,-4.60001814,0.000835,-4.59563925,0.000132,8.929074574305556,3.63913748,,1.0,8,0.11665838,19980.0,-0.52278821,,0.07517318,6381926.67,6826050.05,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
12,ADPT,IBEX,ADPT/IBEX,1 day,-5.69618969,7e-06,-5.99438646,,5.9389832673611105,3.49695938,,1.0,6,0.14029817,13680.0,1.63195052,,0.13037777,7764791.32,1411932.89,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
13,ACT,DUK,ACT/DUK,1 day,-4.55471097,0.000994,-4.38276539,0.000318,9.432306933333335,4.0833451,,1.0,7,0.0261913,11520.0,0.91596509,,0.03476617,5005232.6,170537809.4,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
14,D,FBP,D/FBP,1 day,-5.05512097,0.00013,-5.05049833,1.8e-05,7.574145511111111,3.35879838,,1.0,8,0.12238869,16020.0,0.72004789,,0.0424697,153957620.42,11082453.95,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
15,ADC,AFL,ADC/AFL,1 day,-4.76572805,0.000434,-4.76117129,6.4e-05,8.32915864513889,3.76166199,,1.0,7,0.04468394,15840.0,0.87889269,,0.03448505,34805669.83,92337001.16,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
16,HUM,CINF,HUM/CINF,1 day,-4.18527482,0.00384,-4.18128177,0.000709,12.919350786805555,4.37060755,,1.0,8,0.22414723,16380.0,-1.41897664,,0.11187277,278720338.15,27959212.49,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
17,AMZN,PFBC,AMZN/PFBC,1 day,-4.47104738,0.001366,-4.46664673,0.000226,9.524631870833334,3.65293141,,1.0,8,0.07517011,17640.0,1.21754655,,0.06633205,4901890274.19,2414876.96,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
18,ADEA,PTCT,ADEA/PTCT,1 day,-4.72998386,0.0005,-4.54224652,0.000165,8.958501864583333,3.78875431,,1.0,7,0.08459698,14605.714286,0.44562835,,0.07621161,3054351.04,19534154.35,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
19,DE,ENPH,DE/ENPH,1 day,-4.08461044,0.005419,-4.08032475,0.001044,10.846170309722222,3.89059256,,1.0,8,0.0592803,16200.0,-0.2266863,,0.05843747,269545454.52,244082745.78,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
20,AGEN,NJR,AGEN/NJR,1 day,-4.75406239,0.000454,-4.74930724,6.8e-05,8.116371025694445,3.32590067,,1.0,8,0.53178674,14400.0,-10.72938035,,0.37687416,3961669.71,10065352.8,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
21,PG,ODFL,PG/ODFL,1 day,-4.30320946,0.002531,-4.29696646,0.00045,7.065331243055555,3.47704623,,1.0,7,0.02472742,12548.571429,0.2495282,,0.02736187,541513062.54,143341480.68,2024-05-07T00:00:00+00:00,2025-10-29T00:00:00+00:00,371
22,PFE,KOS,PFE/KOS,1 day,-4.00068214,0.007165,-3.9971089,0.001426,12.220626761111111,4.34066469,,1.0,8,0.04110699,16740.0,0.14037721,,0.04969767,801604187.16,24029845.91,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
23,ADPT,WU,ADPT/WU,1 day,-4.95529107,0.000199,-4.94969491,2.8e-05,7.084995861111111,3.35188701,,1.0,7,0.17528444,16662.857143,-2.84184826,,0.16503614,7764791.32,44565180.47,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
24,ALRM,NNOX,ALRM/NNOX,1 day,-4.20511862,0.003583,-4.20097781,0.000656,10.544226878472223,3.71207744,,1.0,8,0.04336189,18360.0,0.30085035,,0.05499695,8391010.22,10342468.26,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
25,AEP,SIGI,AEP/SIGI,1 day,-5.60697352,1.1e-05,-5.60182954,1e-06,6.608408940972222,3.16047677,,1.0,7,0.08047637,12548.571429,-1.19039966,,0.06337912,144762016.52,14285043.44,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
26,AEP,SIGI,AEP/SIGI,1 day,-5.60697352,1.1e-05,-5.60182954,1e-06,6.608408940972222,3.16047677,,1.0,7,0.08047637,12548.571429,-1.19039966,,0.06337912,144762016.52,14285043.44,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
27,NVDA,SPXC,NVDA/SPXC,1 day,-4.36519785,0.002022,-4.36102027,0.000348,9.856184315277778,3.83170985,,1.0,7,0.08150503,17280.0,1.70773655,,0.09657596,22998055942.03,14330074.08,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
28,WELL,PBI,WELL/PBI,1 day,-5.10523296,0.000105,-5.10047201,1.4e-05,7.369093990972222,3.63664344,,1.0,6,0.06999117,13680.0,0.58405849,,0.04741422,155575832.93,10921505.41,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
29,ADBE,CNP,ADBE/CNP,1 day,-4.15101986,0.004322,-4.14721173,0.000808,11.124254390277777,3.70858656,,1.0,8,0.09253638,21420.0,-1.29401167,,0.07783812,704776497.6,105496088.88,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
30,ADBE,CNP,ADBE/CNP,1 day,-4.15101986,0.004322,-4.14721173,0.000808,11.124254390277777,3.70858656,,1.0,8,0.09253638,21420.0,-1.29401167,,0.07783812,704776497.6,105496088.88,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
31,CTRA,ORA,CTRA/ORA,1 day,-4.35484278,0.0021,-4.3507421,0.000362,11.667766724999998,3.9303566,,1.0,7,0.03344719,17691.428571,-0.309437,,0.05443862,114789954.04,15445207.78,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
32,ACCO,WERN,ACCO/WERN,1 day,-4.98309155,0.000177,-4.97832346,2.4e-05,7.639117101388889,3.04597189,,1.0,8,0.09748859,15120.0,1.05433805,,0.05540825,1959948.02,12442748.44,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
33,RTX,AEP,RTX/AEP,1 day,-4.46811031,0.001381,-4.46398891,0.000228,9.76102982361111,4.40025566,,1.0,6,0.04164888,16320.0,1.68060742,,0.06318921,346036043.57,144762016.52,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
